Name,Offset,Min,Max,Skins Count,Skins Name,Unknown 1,Unknown 2,Faces/Triangles,Material Type,Unknown 3,Material,"Unknown 4(x,c,i)",Skins Index,Vertices Count,Vertex Stride,Unknown 5,Vertex Bytes,Indices Count,Index Bytes



construction/barricade_hlam/x/suitcase_x/piece7.ply,0X00029A75,"-0.445736,-3.431507,-2.386733","0.445732,3.431508,2.386733","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,02_-_default.mtl,17750,Skin index: 

construction/barricade_hlam/x/wardrobe2_x/piece0.ply,0X0002B09F,"-0.217496,9.220339,4.289591","2.694908,12.826140,4.289591","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,mirror.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece1.ply,0X0002B27C,"-1.076958,7.502451,4.289589","3.903938,12.713547,4.289589","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,mirror.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece10.ply,0X0002B45A,"-7.073444,-0.237216,-10.602528","7.073425,0.237217,10.602531","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",24,0X00000404,material_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece11.ply,0X0002BA14,"-7.073433,-0.237215,-19.601141","7.073433,0.237215,11.002914","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",32,0X00000404,material_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece12.ply,0X0002C17E,"-7.073442,-0.237215,-9.413752","7.132477,0.237216,10.602530","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",24,0X00000404,material_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece13.ply,0X0002C738,"-7.073433,-0.237215,-10.674815","7.073433,0.237215,11.165979","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",24,0X00000404,material_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece14.ply,0X0002CEB2,"-5.887463,-0.237216,-14.292004","5.887464,0.237215,14.292007","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",24,0X00000404,material_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece15.ply,0X0002D46C,"-19.739944,-7.544047,-1.191982","18.516464,7.544047,1.191982","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",20,0X00000404,material_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece2.ply,0X0002DA8D,"-7.073433,-0.237216,-19.601141","7.073432,0.237215,6.016376","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",32,0X00000404,material_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece3.ply,0X0002E276,"-17.023134,-5.266135,4.289590","-13.781619,-0.190539,4.289590","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,mirror.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece4.ply,0X0002E453,"2.548502,-0.986244,4.289589","5.460907,2.619558,4.289589","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,mirror.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece5.ply,0X0002E630,"-7.073433,-0.237215,-11.165981","7.073433,0.237216,11.165981","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",24,0X00000404,material_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece6.ply,0X0002EDA9,"2.558451,-3.367690,4.289589","7.539347,2.908019,4.289589","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,mirror.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece7.ply,0X0002EF86,"3.585854,-5.939845,4.289589","6.827370,-0.864248,4.289589","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,mirror.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece8.ply,0X0002F163,"-5.982376,-2.517212,-2.395594","-2.722605,4.862345,-2.395594","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",8,0X00000404,mirror.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe2_x/piece9.ply,0X0002F3E8,"0.107262,1.986660,4.236299","7.089483,7.806257,4.236299","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",10,0X00000404,mirror.mtl,17750,Skin index: 

construction/barricade_hlam/x/wardrobe_x/piece1.ply,0X00031050,"-14.763780,-7.544047,-1.191982","14.763780,7.544047,1.191982","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",20,0X00000404,03_-_default_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe_x/piece2.ply,0X00031674,"-7.073433,-0.237215,-19.601145","7.073433,0.237214,19.601141","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",32,0X00000404,03_-_default_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe_x/piece3.ply,0X00031D60,"-7.073433,-0.237214,-11.165980","7.073433,0.237216,11.165981","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",24,0X00000404,03_-_default_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe_x/piece4.ply,0X000324DC,"-7.073433,-0.237214,-19.601143","7.073433,0.237215,19.601143","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",32,0X00000404,03_-_default_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe_x/piece5.ply,0X00032BC8,"-7.073443,-0.237216,-10.602528","7.073424,0.237215,10.602531","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",24,0X00000404,03_-_default_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe_x/piece6.ply,0X00033184,"-7.073433,-0.237215,-11.165981","7.073433,0.237215,11.165981","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",24,0X00000404,03_-_default_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe_x/piece7.ply,0X00033900,"-5.887463,-0.237217,-14.292006","5.887464,0.237214,14.292004","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",24,0X00000404,03_-_default_x.mtl,17750,Skin index: 
construction/barricade_hlam/x/wardrobe_x/piece8.ply,0X00033EBC,"-7.073443,-0.237215,-10.602530","7.073424,0.237215,10.602530","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",24,0X00000404,03_-_default_x.mtl,17750,Skin index: 



construction/bridge/bridges_stairs_basis/bridges_stairs/brige_stairs.ply,0X0003538C,"-68.667419,-229.290863,-5.835927","68.667618,229.290894,137.671234","0X00000024: 0x0212, 530","0X00000028: 0x0000, 0",416,0X00000404,../common/stair_no_alfa.mtl,17750,Skin index: 
construction/bridge/bridges_stairs_basis/bridges_stairs/stairs_decal.ply,0X0003D486,"-68.560555,-229.290878,72.474236","68.560684,93.351021,137.676163","0X00000024: 0x0212, 530","0X00000028: 0x0000, 0",10,0X00000404,../common/stair_no_alfa.mtl,17750,Skin index: 


construction/bridge/bridges_stairs_basis/railing_center/railing_center.ply,0X0003E2B5,"-60.509434,-4.940805,137.504700","62.218445,2.330718,157.309570","0X00000024: 0x0212, 530","0X00000028: 0x0000, 0",50,0X00000404,../common/stair_alfa.mtl,17750,Skin index: 

construction/bridge/bridges_stairs_basis/railing_left/railing_left.ply,0X0003FCAA,"-3.662675,-177.270706,3.478701","3.662715,177.270584,157.309616","0X00000024: 0x0212, 530","0X00000028: 0x0000, 0",130,0X00000404,../common/stair_alfa.mtl,17750,Skin index: 

construction/bridge/bridges_stairs_basis/railing_left_1/railing_left_1.ply,0X00042A15,"-2.492420,-48.127087,137.539444","2.492378,48.126793,156.614548","0X00000024: 0x0212, 530","0X00000028: 0x0000, 0",14,0X00000404,../common/stair_alfa.mtl,17750,Skin index: 

construction/bridge/bridges_stairs_basis/railing_right/railing_right.ply,0X00043800,"-3.662675,-177.270676,3.478701","3.662715,177.270615,157.309616","0X00000024: 0x0212, 530","0X00000028: 0x0000, 0",130,0X00000404,../common/stair_alfa.mtl,17750,Skin index: 

construction/bridge/bridges_stairs_basis/railing_right_1/railing_right_1.ply,0X00046572,"-2.492420,-50.366314,137.539444","2.492378,48.126793,156.614578","0X00000024: 0x0212, 530","0X00000028: 0x0000, 0",14,0X00000404,../common/stair_alfa.mtl,17750,Skin index: 


construction/bridge/bridge_river/bridge_arc2/bridge.ply,0X00046B66,"-114.291733,-4.921253,-0.004399","114.291740,4.921267,92.817177","0X00000024: 0x0212, 530","0X00000028: 0x0000, 0",679,0X00000404,material1.mtl,17750,Skin index: 

construction/bridge/bridge_river/bridge_arc2_post/bridge.ply,0X000552B3,"-3.256753,-2.952756,0.000000","2.086339,3.016011,27.863127","0X00000024: 0x0212, 530","0X00000028: 0x0000, 0",55,0X00000404,material1.mtl,17750,Skin index: 

construction/bridge/bridge_river/bridge_arc_basis_l/bridge_arc_basis_l.ply,0X00057568,"-132.103455,-16.762344,-23.740265","132.103439,16.762318,121.750565","0X00000024: 0x0212, 530","0X00000028: 0x0000, 0",370,0X00000404,material5.mtl,17741,Skin index: ,"0X00000068: 0x0212, 530","0X0000006C: 0x019a, 410",30,0X00000404,material7.mtl,17750,Skin index: 

construction/bridge/bridge_river/bridge_arc_basis_r/bridge_arc_basis_r.ply,0X0006171C,"-132.112793,-16.776262,-23.740265","132.112793,16.776241,121.750572","0X00000024: 0x0212, 530","0X00000028: 0x0000, 0",370,0X00000404,material5.mtl,17741,Skin index: ,"0X00000068: 0x0212, 530","0X0000006C: 0x019a, 410",30,0X00000404,material7.mtl,17750,Skin index: 

construction/bridge/bridge_river/bridge_arc_bay/bridge_arc_bay.ply,0X0006BC1C,"-118.530609,-16.776318,-23.734528","118.530594,16.776186,121.756302","0X00000024: 0x0212, 530","0X00000028: 0x0000, 0",484,0X00000404,material5.mtl,17741,Skin index: ,"0X00000068: 0x0212, 530","0X0000006C: 0x020c, 524",20,0X00000404,material7.mtl,17750,Skin index: 

construction/bridge/bridge_river/bridge_river_fence1/fence1.ply,0X00077844,"-39.870987,-3.633211,0.000001","39.871002,3.633151,19.770119","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",30,0X00000404,material3.mtl,17750,Skin index: 

construction/bridge/bridge_river/bridge_river_fence2/fence2.ply,0X00078873,"-117.847427,-3.633211,-13.813240","117.847412,3.633151,19.742481","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",94,0X00000404,material3.mtl,17750,Skin index: 

